제목,카테고리1,카테고리2,카테고리3,지역명,시군구명,요약
석성향교,인문(문화/예술/역사),역사관광지,유적지/사적지,충청남도,부여군," 고려 말 조선 초기에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위해 창건되었다. 창건 연대는 미상이며, 임진왜란으로 소실되었다가 1636년(인조 14)에 중건하였으며, 1950년에 명륜당을, 1969년에 동재(東齋)를, 1972년에는 대성전(大成殿)을 각각 보수하였다. 현존하는 건물로는 대성전을 비롯하여 명륜당·동재·내삼문(內三門)·외삼문(外三門)·수복청(守僕廳) 등이 있으며, 외삼문 밖에는 홍살문이 세워져 있다. 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있다. "
연산향교,인문(문화/예술/역사),역사관광지,유적지/사적지,충청남도,논산시," 1878년(고종 15)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 1922년·1933년·1961년·1967년·1971년에 각각 중수하였다. 현존하는 건물로는 대성전 등이 있으며, 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나라 18현(十八賢)의 위패를 봉안하고 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관 1명이 정원 30명의 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고 봄·가을에 석전을 봉행하며, 초하루·보름에 분향하고 있다. 소"
온양향교,인문(문화/예술/역사),역사관광지,유적지/사적지,충청남도,아산시," 1871년(고종 8)에 현유의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 온양향교현황에 의하면, 1610년(광해군 2)에 법곡리에서 현재의 위치로 이건하였다고 하나 확실하지 않다. 현존하는 건물로는 대성전 등이 있으며, 여기에는 5성(五聖), 송조2현(宋朝二賢), 우리 나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관 1명이 정원 30명의 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고 봄·가을에 석전을 봉행하며, 초하루·"
은진향교,인문(문화/예술/역사),역사관광지,유적지/사적지,충청남도,논산시," 1380년(우왕 6)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 1642년(인조 20)에 용산리에서 현재의 위치로 이건하였으며, 1907년에 배태성(裵台成), 1923년에 김용준(金溶俊), 1927년에 이기태(李起台)·최영원(崔泳元), 1934년에 전재구(田載球), 1954년에 김익권(金益權), 1956년에 김인구(金?九), 1963년에 이강원(李康源)이 각각 중수하였다. 그 뒤 1970년에 대성전과 동재(東齋)를 중수하였고, 1972년에 대대적으로 개수하였다. 현존하는 건물로는 대성전·명륜"
임천향교,인문(문화/예술/역사),역사관광지,유적지/사적지,충청남도,부여군," 조선시대에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 창건연대는 알려져 있지 않으며, 1849년(헌종 15)에 이행익(李行翼)이 명륜당과 동재(東齋)·서재(西齋)를 중수하였다. 1924년에 유기선(柳基璇)이 명륜당을, 1926년에 신득선(辛得善)이 대성전을 각각 중수하였다. 현존하는 건물로는 대성전·명륜당·동재·서재 등이 있으며, 대성전에는 5성(五聖)의 위패가, 동무·서무에는 우리나라 18현(十八賢)의 위패를 봉안하고 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관 1명이"
청양향교,인문(문화/예술/역사),역사관광지,유적지/사적지,충청남도,청양군," 조선 초기에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 설립연대는 미상이며, 1851년(철종 2)·1874년(고종 11)·1904년에 중수하였다. 현존하는 건물로는 대성전·명륜당·동재(東齋)·서재(西齋)·내삼문(內三門) 등이 있다. 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리 나라 18현(十八賢)의 위패가 봉안되어 있다. 특히 인조 때 명나라에 사신으로 갔던 강선여(姜善餘)가 가져 온 공자(孔子)의 진상(眞像)이 1868(고종 5) 대원군의 서원철폐에 따라 이 향교의 대성전에 이봉(移奉"
홍주향교,인문(문화/예술/역사),역사관광지,유적지/사적지,충청남도,홍성군," 고려시대에 건립되었다고 전해지지만, 구체적인 전거가 확인되지는 않는다. ≪신증동국여지승람≫에는 향교의 위치가 홍주의 북쪽 3리에 있다고 하였는데, 이는 현재의 위치로 추측된다. ≪경국대전≫에 의하면 홍주향교에는 조선전기에 종6품의 교수가 파견되었고, 실제로 1609년(광해군 1)에 신정의(辛廷懿)가 홍주 제독관으로 파견되었다는 기록이 남아있다. 홍주향교의 보수내역은 1871년(고종 8)에 향교의 대성전을 중수하였고, 1880년에는 홍주목사 김윤현(金胤鉉)에 의해 동무·서무와 중삼문(中三門)이 신설되었다. 1893년에는 대성전이 중"
고산향교,인문(문화/예술/역사),역사관광지,유적지/사적지,전라북도,완주군," 1397년(태조 7) 지방의 중등교육과 현유(賢儒)의 위패를 봉안, 배향하고 지방의 중등교육과 지방민의 교화를 위하여 창건되었다. 1399년(정종 1)에 소실되었다가 그 뒤 복원하였으며, 임진왜란 때 다시 소실되어 1601년(선조 34) 대성전을, 1604년 명륜당을 건립하였다. 1966년 대성전과 명륜당을 보수하였으며, 현존하는 건물로는 대성전·명륜당·동재·서재·삼문(三門)·교직사(校直舍)·기타 부속건물 등이 있다. 정면 3칸, 측면 3칸의 맞배지붕으로 된 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나라 18현(十八賢)의"
무장향교,인문(문화/예술/역사),역사관광지,유적지/사적지,전라북도,고창군," 무장향교는 1420년(세종 2) 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위해 창건되었다. 1593년(선조 26) 임진왜란으로 소실되었다가 1600년에 중건하였으며, 1840년(헌종 6) 화재로 명륜당이 소실되어 그 뒤 중건하였다. 1852년(철종 3) 동재(東齋)가 소실되어 이듬해에 중건하였으며, 1975년 대성전을 보수하였다. 현존하는 건물로는 정면 3칸과 측면 2칸의 맞배지붕으로 된 대성전, 정면 5칸과 측면 2칸의 팔작지붕으로 된 명륜당, 각각 정면 4칸과 측면 2칸의 팔작지붕으로 된 동재와 서재(西齋)"
여산향교,인문(문화/예술/역사),역사관광지,유적지/사적지,전라북도,익산시," 1403년(태종 3)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 임진왜란 때 소실되었다가 그뒤 지방유림에 의하여 중건되었다. 여러 번의 중수를 거쳐 1917년에 전면 보수하였으며, 1956년과 1963년에 각각 중수하였다. 현존하는 건물로는 3칸반의 대성전, 5칸의 명륜당, 2칸의 동재(東齋), 3칸의 서재(西齋), 2칸의 제기고(祭器庫), 사마재(司馬齋), 양사재(養士齋), 전사청(典祀廳), 내삼문(內三門), 외삼문(外三門) 등이 있다. 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나"
용안향교,인문(문화/예술/역사),역사관광지,유적지/사적지,전라북도,익산시," 1391년(공양왕 3)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 1416년(태종 16) 현재의 위치로 이건하였으며, 1592년(선조 25)에 임진왜란으로 소실되었다가 그 뒤 중건하였다. 1927년에 화재로 대성전만 남고 모든 건물이 소실되었으며, 1961년 명륜당을 비롯한 부속건물들을 중건하고 1966년에 대성전을 보수하였다. 현존하는 건물로는 정면 3칸 측면 2칸의 맞배지붕으로 된 대성전, 정면 4칸 측면 2칸의 팔작지붕으로 된 명륜당, 전사청(典祀廳), 수복실 등이 있다. 대성전에는 5"
임실향교,인문(문화/예술/역사),역사관광지,유적지/사적지,전라북도,임실군," 임실향교는 1413년(태종 13)에 현유(賢儒)의 위패를 봉안, 배향(配享)하고 지방민의 교육과 교화를 위하여 창건되었다. 임진왜란 때 일부 소실되었다가 1854년(철종 5) 김성근(金性根) 등이 대성전을 중수하고, 1869년(고종 6) 원세철(元世澈)이 명륜당을 보수하였다. 그 뒤 1879년에 구연익(具然翼)이 대성전을, 1883년과 1885년에 한기석(韓箕錫)이 각각 서재(西齋)와 동재(東齋)를, 1894년에 민영대(閔泳大)가 교궁(校宮)을 중수하였다. 1907년에는 군내 주민들이 뜻을 모아 전반적인 보수를 하였으며, 1916"
구례향교,인문(문화/예술/역사),역사관광지,유적지/사적지,전라남도,구례군," 창건연대는 미상이나 조선 초기에 창건된 것으로 추측된다. 현유(賢儒)의 위패를 봉안, 배향(配享)하고 지방의 중등교육과 지방민의 교화를 위하여 창건되었다가, 1499년(연산군 5)에 향교를 폐하고 1518년(중종 13) 현북(縣北) 백련동(白蓮洞) 서북쪽에 새로 향교를 설립하였다. 그러나 매년 향사 때마다 호환(虎患)이 있었으므로 1704년(숙종 30)에 구례군의 진산(鎭山)인 봉성산(鳳城山) 서응봉(西鷹峰) 아래인 현재 위치로 이건하였다. 1825년에 정현(鄭玹) 등이 명륜당을 중수하였고 1864년에 현감 민치로(閔致魯)가, 1"
남평향교,인문(문화/예술/역사),역사관광지,유적지/사적지,전라남도,나주시," 1420년(세종 2)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위해 남평현 동문(東門) 밖에 창건되었다. 그 뒤 1534년(중종 29)에 남일리(南一里) 자고개［尺峴］로 이건하였다가 1545년(인종 1)에 중수하였으며, 임진왜란 때 전소된 것을 1600년 성균관과 남평현민들이 협조하여 지금의 위치에 복원하였다. 1695년·1745년·1793년·1835년·1855년에 각각 중수하고, 1921년과 1978년에 크게 보수하여 지금에 이르고 있다. 현존하는 건물로는 대성전·명륜당·동재(東齋)·서재(西齋)·흥학당(興學"
사산서원,인문(문화/예술/역사),역사관광지,유적지/사적지,전라북도,부안군," 피정 채충경, 이하 6현을 향사하던 사우로 1868년(고종 5) 대동훼철령으로 훼철되었다가 1975년 부안군 주산면 사산리에 복설하고 채충경 이하 4현을 향사하고 있다. "
삼현서원,인문(문화/예술/역사),역사관광지,유적지/사적지,전라북도,완주군," 1844년(헌종 10) 지방유림의 공의로 강승(姜昇)·김시습(金時習)·남효온(南孝溫)의 학문과 덕행을 추모하기 위해 창건하여 위패를 모셨다. 선현배향과 지방교육의 일익을 담당하여 오던 중 1869년(고종 6) 대원군의 서원철폐령으로 훼철되었다. 그 뒤 1924년 후손과 유림에 의하여 복원되었으며, 1969년과 1983년에 중수하여 오늘에 이르고 있다. "
담양향교,인문(문화/예술/역사),역사관광지,유적지/사적지,전라남도,담양군," 설립연대는 미상이다. 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 고려 충혜왕 때 설립되었다는 설도 있으나, 본격적인 건물창건은 1398년(태조 7) 대성전이 설립되면서부터이다. 1674년(숙종 즉위년) 부사 이헌유(李憲儒)가 중건하고, 1747년(영조 23) 부사 안정헌(安廷헌)이 중수하였다. 현존하는 건물로는 3칸의 대성전, 각 3칸의 동무(東?)와 서무(西?), 7칸의 명륜당, 내신문(內神門) 등이 있다. 대성전에는 5성(五聖), 송조2현(宋朝二賢) 및 우리 나라 18현(十八賢)의 위패가 "
여수향교,인문(문화/예술/역사),역사관광지,유적지/사적지,전라남도,여수시," 1897년에 현유(賢儒)의 위패를 봉안, 배향하고, 지방민의 교육과 교화를 위하여 창건되었다. 1950년에 중수하였으며, 현존하는 건물로는 5칸의 대성전을 비롯하여 명륜당·내삼문·풍화루(風化樓)·서재(書齋) 등이 있다. 대성전에는 5성(五聖), 송조6현(宋朝六賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관이 교생을 가르쳤으나, 갑오경장 이후 신학제 실시에 따라 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행(奉行)하며, 초하루·보름에 분향하고 있다. 이 향"
완도향교,인문(문화/예술/역사),역사관광지,유적지/사적지,전라남도,완도군," 1897년에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 그 뒤 1967년에 전면 보수하였으며, 현존하는 건물로는 대성전·명륜당·동재(東齋)·서재(西齋)·고사(庫舍) 등이 있다. 대성전에는 5성(五聖), 송조2현(宋朝二賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관이 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행하며, 초하루·보름에 분향하고 있다. 이 향교는 전라남도"
지도향교,인문(문화/예술/역사),역사관광지,유적지/사적지,전라남도,신안군," 1438년(세종 20)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 임진왜란 때 소실되었다가 그 뒤 중건하였다. 현존하는 건물로는 대성전·명륜당·동재(東齋)·서재(西齋)·내삼문·외삼문·사마재(司馬齋) 등이 있으며, 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나라 18현(十八賢)의 위패를 봉안하고 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관 1명이 정원 30명의 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉"
창평향교,인문(문화/예술/역사),역사관광지,유적지/사적지,전라남도,담양군," 조선시대에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 설립연대는 미상이며, 임진왜란 때 소실되었다가 그 뒤 중건하였다. 현존하는 건물로는 정면 3칸 측면 2칸의 대성전, 정면 4칸 측면 2칸의 명륜당 등이 있다. 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관 1인이 정원 30명의 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고 봄·가을에 석전(釋奠)을 봉행"
연기향교,인문(문화/예술/역사),역사관광지,유적지/사적지,세종특별자치시,세종특별자치시," 1416년(태종 16)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 1865년(고종 2)에 명륜당을 중수하고, 1887년에 현재의 위치로 이건하였다. 1901년에 전사청(典祀廳), 1936년에 명륜당, 1949년에 대성전을 각각 중수하였다. 현존하는 건물로는 6칸의 대성전, 명륜당, 전사청 등이 있다. 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나라 18현(十八賢)의 위패를 봉안하고 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관 1명이 정원 30명의 교생을 가르쳤으"
경산향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,경산시," 1390년에 현유(賢儒)의 위패를 봉안, 배향(配享)하고, 지방의 중등교육과 지방민의 교화를 위해서 창건되었다. 1550년에는 현령 박세린(朴世麟)이 중수하였고 임진왜란 때 소실된 것을 1633년에 현령 박창(朴敞)이 중수하였으며, 1681년에 현령 홍처공(洪處恭)이 감사 이수언(李秀彦)에게 건의하여 교궁(校宮)을 현 위치로 이건하였다. 현존하는 건물은 박공지붕 겹처마인 5칸의 대성전과 5칸의 명륜당, 삼문·중문과 최근에 새로 지은 4칸의 모성당 등이 있다. 대성전에는 5성(五聖)·송조4현(宋朝四賢), 우리나라 18현(十八賢)의 "
김산향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,김천시," 조선 중기까지는 지방민의 교화와 자제들의 중등교육을 담당하였으나 근대에 이르러 향교 재산의 대부분은 학교조합에 이관되었다. 광복 후에는 성균관대학교 설립과 경상북도 유림회의 사업기금으로 수십 두락의 전답을 희사하고 나머지는 토지개혁으로 없어졌다. 1973년 현경길(玄慶吉)이 전교(典校)로 취임하여 6년에 걸쳐서 사재와 보조금으로 명륜당 등을 중수했다. 김산향교에서는 훈도(訓導)가 교육을 담당했다. 사대부의 자제는 대개 7, 8세 이전에 마을의 서당에서 한문의 기초를 배우고 15∼16세 정도 되면 향교에서 중등교육을 받았다. 유생의"
문경향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,문경시," 1392년(태조 1) 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 임진왜란 때 소실되었다가 그 뒤 중건하였다. 현존하는 건물로는 대성전·전사청(典祀廳)·내삼문(內三門)·명륜당·동재(東齋)·서재(西齋)·외삼문(外三門) 등이 있다. 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대는 국가로부터 토지와 전적·노비 등을 지급받아 교관이 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육적 기능은 없어지고, 봄·가을에 석전(釋奠)을 봉행(奉行"
봉화향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,봉화군," 조선 세종(재위 1418∼1450) 때 처음 지어졌으며 조선 선조 12년(1579)에 다시 지었다. 그 후 여러 차례 보수를 하였고 1950년에는 학교로 사용하다가 폐지했다. 이때 크게 훼손되어 1975년에 군수 권명흠이 보수했다. 정문인 사주문을 들어가면 휴식공간인 누각이 있다. 그 뒤로는 유생들이 공부하는 명륜당이 있으며, 양 옆에는 유생들의 거처인 동·서재가 마주보고 있다. 명륜당 뒤 왼쪽에는 내삼문과 그 안에 사당인 대성전이 있다. 대성전은 앞면 3칸·옆면 3칸 규모로 공자의 제자와 조선시대 여러 성현들을 모시고 있다. 전"
비안향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,의성군," 조선시대 때에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 처음에는 당시 비안현(比安縣)에 있었는데 임진왜란 때 소실되었다가 그 뒤 현재의 위치로 이건하였으며, 1898년·1924년·1935년에 각각 중수하였다. 현존하는 건물로는 8칸의 대성전, 3칸의 동무(東?), 4칸의 서무(西?), 6칸의 명륜당, 3문(三門) 등이 있으며, 대성전에는 5성(五聖), 송조6현(宋朝六賢), 우리나라 18현(十八賢)의 위패가 봉안되어 있다. 조선시대에는 국가로부터 토지와 전적·노비 등을 지급받아 교관이 교생을 "
성주향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,성주군," 1398년(태조 7)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위해 창건되었다. 현존하는 건물로는 대성전·동무(東?)·서무(西?)·명륜당·입덕문(入德門)·수복청(守僕廳)·고사(庫舍) 등이 있다. 대성전에는 5성(五聖), 10철(十哲), 송조6현(宋朝六賢), 우리 나라 18현(十八賢)의 위패가 봉안되어 있다. 명륜당은 정면 5칸, 측면 3칸의 맞배지붕으로 되어 있으며, 원래 있던 만화루(萬化樓)와 양사재(養士齋)는 임진왜란 때 소실되고 동재(東齋)와 서재(西齋)는 6·25 때 전소되었다. 조선시대에는 국가로부터"
영양향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,영양군," 1679년(숙종 5)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 1701년에 현감 한세기(韓世箕)와 유림 조시상(趙是常)·조덕수(趙德壽) 등이 협력하여 육영루(育英樓)를 신축하였다. 그 뒤 1925년 육영루를 철거하고 문랑(門廊)을 신축하였으며, 1932년에 동무(東?)·서무(西?)를 철거하고 동재(東齋)·서재(西齋)도 몇 년 뒤 철거되었다. 1974년에 명륜당을 보수하였는데, 명륜당의 현판은 고려 말의 명필인 한수(韓修)가 쓴 것이다. "
예천향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,예천군," 성현의 위패를 봉안하고 지역민을 교화시키기 위해 조선 태조 7년(1398) 현산(峴山:서본리)에 창건하였다. 그 후 태종 18년(1418)에 군수 김겸(金謙)이 이 자리로 옮겼으며, 1770년 경에는 판관(判官) 최승(崔僧)이 중건하는 등 여러 차례 중수되었다 한다. 그러나 6·25 전쟁 때 청금록(靑금錄:향록)이 분실되어 정확한 건립연대는 알 수 없다. 건축 당시에는 풍영루(諷詠樓)·전곡청(典穀廳)·동서무·동서재(齋)·이층의 문루(門樓) 등 9동의 건물이 있었다고 한다. 1967년 국고보조로 중수한 이후 지금은 대성전과 명륜당·"
용궁향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,예천군," 1398년(태조 7) 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 1400년(정종 2) 소실된 뒤 1512년(중종 7) 현재의 위치로 이건하였으며, 임진왜란 때 다시 소실되었다. 1603년(선조 36) 대성전과 명륜당을, 1636년(인조 14) 세심루(洗心樓)를 각각 중건하였고, 그 뒤 여러 차례에 걸쳐 중수하였다. 현존하는 건물로는 6칸의 대성전, 7칸의 명륜당, 9칸의 세심루, 6칸의 동재(東齋), 신도문(神道門) 등이 있다. 대성전에는 5성(五聖), 송조4현(宋朝四賢), 우리나라 18현(十"
의흥향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,군위군," 조선 인종 때에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 임진왜란 때 건물은 모두 소실되었으나 이곳 유림 손돈암(孫遯巖)이 위패를 선암산(船巖山)으로 피난시켜 병화를 면하였으며, 이로써 경상도에서 오직 이 향교만이 당초 그대로의 위패를 보존하고 있다. 1601년(선조 34)에 중건하고 1614년(광해군 6)에 읍 서편으로 이건하였다가 1641년(인조 19)에 현재의 위치로 이건하였다. 1950년 6·25사변으로 삼성재(三省齋)·노사(奴舍) 등이 소실되었으며, 1968년에 광풍루(光風樓)를 중"
인동향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,구미시," 조선 중기에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 창건연대는 미상이며, 현재의 향교는 1864년(고종 1)에 중건된 것이다. 고종 말기에는 인동국민학교의 전신인 옥성학원(玉城學院)이 설립되어 명륜당을 교사로 쓰기도 하였다. 동무(東?)·서무(西?)는 6·25 때 소실되었고 동재(東齋)·서재(西齋)도 그 뒤 철거되어 서재 자리에 관리사(管理舍)를 지었다. 현존하는 건물로는 6칸의 대성전, 8칸의 명륜당, 신도문(神道門)·외삼문(外三門) 등이 있다. 명륜당은 초익공오량가(初翼工五樑架)이며 工"
자인향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,경산시," 1985년 8월 5일 경상북도문화재자료 제106호로 지정되었다. 창건 시기는 현존하는 자료에서 확인할 수 없으나 고려 공민왕 때 창건된 것으로 추정된다. 1562년(명종 17) 경주 부윤 이정(李楨)이 고려 때 문묘를 지은 터에 다시 지었는데 임진왜란 때 불타버리고 후에 이춘복(李春馥) 등이 상소하여 1728년(영조 4)에 이건하였다. 1900년에 대성전을 짓고 1924년에 명륜당, 1926년에 다시 대성전을 중수하였다. 건물은 대성전, 명륜당, 모성루, 동재(측면 3칸, 측면 1칸), 내삼문으로 이루어져 있다. 전체적으로 남향한"
지례향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,김천시," 1426년(세종 8)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 1485년(성종 16)에 현감 김수문(金秀文)이 명륜당을 부설하였다. 임진왜란 때 전소되었으나 주민들이 대성전에 봉안되었던 성영(聖影)과 위패를 무사히 구해내어 매안(埋安)하였으며, 그 뒤 복원하여 향교로 옮겼다고 한다. 1690년(숙종 16) 현감 유후광(柳後光)이 중수하였고, 일제 말기에는 금산향교(金山鄕校)로 폐합되었다가 지방유림의 계속된 진정으로 1946년에 다시 복원되었다. 6·25동란 때는 대성전의 피화(被禍)를 염려"
진보향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,청송군," 1404년(태종 4)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 임진왜란 때 소실되었다가 그 뒤 복원하였으며, 1976년에 대성전을 보수하고 건물을 새로 단청하였다. 현존하는 건물로는 맞배지붕 겹처마에 6칸으로 된 대성전, 7칸의 명륜당, 맞배지붕 홀처마에 4칸으로 된 서재(西齋), 내삼문(內三門), 외삼문(外三門) 등이 있다. 서재의 맞은편에 있던 동재(東齋)는 철거되고 초석만 남아 있는데, 규모로 보아 서재와 동일한 것으로 보인다. 대성전에는 5성(五聖), 송조6현(宋朝六賢), 우리나라 "
청송향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,청송군," 1426년(세종 8) 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 임진왜란 때 전소되었다가 1606년(선조 39) 부사 이영도(李泳道)가 국동(菊洞)에 대성전을 건립하고, 1629년(인조 7) 부사 이문증(李文證)이 동무(東?)·서무(西?)와 강당 등을 보축, 중수하였다. 이 후 1693년(숙종 19) 부사 이문징(李文徵)이 현재의 위치로 이건하였다. 1700년 부사 이상훈(李相勛)이 청아루(菁莪樓)를 증축하였고, 1869년(고종 6) 부사 윤현기(尹顯岐)가 대대적인 개수와 보수를 하였다. 19"
풍기향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,영주시," 조선시대 현유(賢儒)의 위패를 봉안, 배향하고 지방의 교육과 지방민의 교화를 위해 창건되었다. 본래는 금계동 임실마을 서편에 있었으나, 1541년(중종 36) 주세붕(周世鵬)이 풍기군수로 부임하여 문묘에 참배한 뒤 그 위치가 읍에서 너무 멀고 식수(食水)가 불편하다 하여 이듬해에 현재의 위치로 옮겨지었다. 1692년(숙종 18)에 군수 정증(鄭?)이 구지(舊址)로 옮겼다가, 1735년(영조 11) 군수 임집(任0x9C49)이 다시 지금의 위치로 옮겨지었다. 1950년 6·25전쟁으로 양심루(養心樓)와 동재(東齋)·서재(西齋)가 소"
하양향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,경산시," 1985년 8월 5일 경상북도문화재자료 제107호로 지정되었다. 향교는 문묘와 어진 유학자의 위패를 모시고, 유학(儒學)을 가르쳐 인재를 양성하는 조선시대의 지방교육기관이었다. 하양향교는 1580년(선조 13)에 창건되었으며, 현재 대성전(大成殿), 명륜당(明倫堂), 전사청(典祀廳), 동재(東齋), 서재(西齋), 기물고(器物庫) 등의 건물이 남아 있다. "
함창향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,상주시," 1985년 8월 5일 경상북도문화재자료 제124호로 지정되었다. 1398년(태조 7)에 세우고, 1417년(태종 16)에 옮겼다고 하나 정확한 창건연대는 알 수 없다. 경사진 산 언덕에 3단으로 대지를 조성하고 남북축선을 기준으로 전학후묘형으로 배치하였으며, 동재와 서재를 명륜당 뒤에 두어 안마당을 형성하였다. 대성전은 정면 3칸, 측면 3칸으로 툇간을 설치하고 내부는 장마루를 깔았다. 어칸은 넓은 편으로 두리기둥을 세웠으며 겹처마 맞배지붕으로 양측면에는 방풍관을 설치하였다. 명륜당은 정면 5칸, 측면 2칸으로 누각 형식이다.《교"
흥해향교,인문(문화/예술/역사),역사관광지,유적지/사적지,경상북도,포항시," 1398년(태조 7)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 1950년 6·25동란 때 대성전과 동무(東?)만 남고 나머지는 모두 소실되었고, 기문(記文)마저 없어져 중수기록을 알 수 없다. 1953년에 명륜당과 수복실(守僕室)을 신축하였고, 1970년에 대성전의 번와작업(飜瓦作業), 1971년에 대성전의 단청 보수, 1975년에 동재 보수를 하였다. 현존하는 건물로는 6칸의 맞배지붕 겹처마의 대성전, 우진각지붕 홑집의 명륜당, 각 4칸의 동무와 서무(西?), 수복실, 사주문(四柱門) 등"
